Order ID,Order Date,Ship Date,Ship Mode,Segment,Region,State,Category,Sub-Category,Sales,Quantity,Discount,Profit
ORD-10022,2024-02-05,2024-02-12,Standard Class,Corporate,East,New Jersey,Office Supplies,Binders,249.22,8,0.2,24.92
ORD-10023,2023-01-27,2023-02-01,Second Class,Consumer,Central,Michigan,Office Supplies,Fasteners,121.9,5,0.1,23.16
ORD-10024,2025-12-08,2025-12-15,Standard Class,Corporate,East,New York,Furniture,Bookcases,1698.23,4,0.0,203.79
ORD-10025,2023-10-29,2023-11-04,Standard Class,Consumer,West,Nevada,Technology,Copiers,2857.52,8,0.0,628.65
ORD-10026,2024-07-19,2024-07-26,Standard Class,Home Office,Central,Michigan,Office Supplies,Binders,168.52,8,0.0,47.19
ORD-10027,2023-09-03,2023-09-04,Same Day,Corporate,South,Georgia,Furniture,Tables,920.11,2,0.2,-55.21
ORD-10028,2024-11-15,2024-11-18,First Class,Corporate,Central,Illinois,Technology,Phones,835.49,7,0.1,108.61
ORD-10029,2023-05-30,2023-06-06,Standard Class,Home Office,Central,Michigan,Office Supplies,Fasteners,19.1,2,0.1,3.63
ORD-10030,2025-09-30,2025-10-03,First Class,Consumer,South,Florida,Office Supplies,Art,131.46,8,0.2,13.15
ORD-10031,2024-01-05,2024-01-12,Standard Class,Home Office,Central,Michigan,Office Supplies,Storage,666.44,4,0.0,186.6
ORD-10032,2025-10-09,2025-10-15,Standard Class,Corporate,Central,Ohio,Office Supplies,Paper,18.42,5,0.0,5.16
ORD-10033,2024-12-04,2024-12-10,Standard Class,Consumer,West,California,Furniture,Bookcases,2565.54,5,0.15,-38.48
ORD-10034,2025-12-28,2026-01-03,Standard Class,Consumer,East,Virginia,Office Supplies,Labels,20.81,5,0.0,5.83
ORD-10035,2023-12-23,2023-12-29,Standard Class,Consumer,West,Nevada,Office Supplies,Labels,10.52,1,0.1,2.0
ORD-10036,2024-05-30,2024-06-06,Standard Class,Home Office,West,Arizona,Furniture,Tables,678.29,1,0.1,20.35
ORD-10037,2025-08-14,2025-08-20,Standard Class,Consumer,West,Washington,Technology,Copiers,8416.57,3,0.15,715.41
ORD-10038,2024-05-13,2024-05-14,Same Day,Consumer,South,Tennessee,Technology,Copiers,5254.62,4,0.0,1156.02
ORD-10039,2025-04-05,2025-04-11,Standard Class,Corporate,Central,Texas,Office Supplies,Fasteners,20.73,1,0.1,3.94
ORD-10040,2023-07-11,2023-07-15,Second Class,Home Office,East,New Jersey,Office Supplies,Binders,171.17,5,0.2,17.12
ORD-10041,2023-10-06,2023-10-10,Second Class,Consumer,South,Tennessee,Office Supplies,Fasteners,59.69,4,0.1,11.34
ORD-10042,2024-03-20,2024-03-26,Standard Class,Corporate,West,California,Office Supplies,Labels,18.12,1,0.0,5.07
ORD-10043,2024-01-31,2024-01-31,Same Day,Consumer,South,Florida,Technology,Accessories,829.4,8,0.1,107.82
ORD-10044,2024-09-25,2024-09-27,First Class,Corporate,Central,Wisconsin,Office Supplies,Labels,37.51,2,0.0,10.5
ORD-10045,2023-06-19,2023-06-25,Standard Class,Consumer,Central,Wisconsin,Furniture,Chairs,515.22,1,0.0,61.83
ORD-10046,2023-08-05,2023-08-11,Standard Class,Consumer,South,Georgia,Office Supplies,Labels,34.69,4,0.0,9.71
ORD-10047,2023-06-22,2023-06-26,Second Class,Consumer,Central,Michigan,Office Supplies,Storage,231.62,3,0.0,64.85
ORD-10048,2024-05-19,2024-05-23,Second Class,Corporate,East,Pennsylvania,Technology,Accessories,758.74,5,0.0,166.92
ORD-10049,2023-03-21,2023-03-28,Standard Class,Home Office,East,New York,Technology,Copiers,19591.16,5,0.0,4310.06
ORD-10050,2024-10-17,2024-10-23,Standard Class,Consumer,South,Tennessee,Technology,Machines,665.4,1,0.15,56.56
ORD-10051,2023-03-31,2023-04-07,Standard Class,Home Office,West,Nevada,Office Supplies,Art,33.5,2,0.0,9.38
ORD-10052,2024-04-05,2024-04-12,Standard Class,Consumer,East,Pennsylvania,Office Supplies,Storage,180.58,1,0.0,50.56
ORD-10053,2025-04-03,2025-04-06,First Class,Home Office,East,Virginia,Technology,Copiers,2450.3,1,0.1,318.54
ORD-10054,2023-03-04,2023-03-10,Standard Class,Consumer,South,Alabama,Office Supplies,Paper,29.66,1,0.0,8.3
ORD-10055,2024-04-20,2024-04-26,Standard Class,Corporate,South,North Carolina,Furniture,Tables,3496.62,8,0.0,419.59
ORD-10056,2024-04-01,2024-04-08,Standard Class,Home Office,East,Virginia,Office Supplies,Labels,46.88,3,0.0,13.13
ORD-10057,2023-09-07,2023-09-14,Standard Class,Corporate,West,Arizona,Office Supplies,Paper,101.36,8,0.0,28.38
ORD-10058,2024-09-15,2024-09-17,First Class,Corporate,East,New Jersey,Office Supplies,Labels,10.77,3,0.1,2.05
ORD-10059,2023-04-08,2023-04-13,Second Class,Corporate,West,Arizona,Office Supplies,Fasteners,32.39,2,0.0,9.07
ORD-10060,2023-03-22,2023-03-26,Second Class,Consumer,East,New Jersey,Office Supplies,Binders,190.67,4,0.0,53.39
ORD-10061,2023-05-06,2023-05-12,Standard Class,Home Office,Central,Illinois,Office Supplies,Labels,98.2,5,0.0,27.5
ORD-10062,2023-12-26,2024-01-02,Standard Class,Consumer,Central,Ohio,Furniture,Tables,4562.52,8,0.15,-68.44
ORD-10063,2024-08-26,2024-09-02,Standard Class,Home Office,East,New Jersey,Technology,Phones,640.34,3,0.2,25.61
ORD-10064,2025-03-04,2025-03-10,Standard Class,Corporate,West,Arizona,Office Supplies,Fasteners,62.27,6,0.0,17.44
ORD-10065,2024-12-19,2024-12-25,Standard Class,Home Office,East,New Jersey,Office Supplies,Binders,23.45,3,0.0,6.57
ORD-10066,2025-10-23,2025-10-29,Standard Class,Corporate,East,Pennsylvania,Office Supplies,Paper,31.92,8,0.0,8.94
ORD-10067,2024-04-29,2024-05-06,Standard Class,Corporate,South,North Carolina,Office Supplies,Storage,890.78,8,0.0,249.42
ORD-10068,2023-03-08,2023-03-14,Standard Class,Home Office,West,California,Office Supplies,Binders,215.04,4,0.1,40.86
ORD-10069,2024-11-22,2024-11-29,Standard Class,Corporate,East,Massachusetts,Office Supplies,Binders,70.35,2,0.0,19.7
ORD-10070,2024-09-15,2024-09-16,Same Day,Consumer,Central,Ohio,Office Supplies,Binders,17.15,5,0.0,4.8
ORD-10071,2023-03-16,2023-03-23,Standard Class,Consumer,South,Florida,Office Supplies,Art,239.42,6,0.0,67.04
ORD-10072,2023-06-22,2023-06-27,Second Class,Consumer,West,California,Technology,Machines,14071.49,8,0.1,1829.29
ORD-10073,2023-11-16,2023-11-23,Standard Class,Consumer,West,Washington,Office Supplies,Binders,33.2,1,0.15,4.81
ORD-10074,2023-06-21,2023-06-28,Standard Class,Home Office,Central,Ohio,Office Supplies,Fasteners,19.48,2,0.1,3.7
ORD-10075,2023-11-14,2023-11-21,Standard Class,Consumer,East,Pennsylvania,Furniture,Bookcases,3820.81,8,0.15,-57.31
ORD-10076,2025-05-22,2025-05-24,First Class,Corporate,South,Alabama,Furniture,Tables,8982.18,8,0.1,269.47
ORD-10077,2023-03-30,2023-04-02,First Class,Consumer,West,Oregon,Office Supplies,Paper,27.51,1,0.3,0.28
ORD-10078,2025-03-31,2025-04-07,Standard Class,Corporate,South,North Carolina,Office Supplies,Binders,16.24,1,0.0,4.55
ORD-10079,2024-04-22,2024-04-28,Standard Class,Consumer,West,Oregon,Office Supplies,Paper,47.32,7,0.3,0.47
ORD-10080,2024-05-31,2024-06-06,Standard Class,Consumer,Central,Wisconsin,Office Supplies,Binders,29.47,6,0.2,2.95
ORD-10081,2023-02-16,2023-02-19,First Class,Consumer,Central,Wisconsin,Furniture,Furnishings,642.56,8,0.0,77.11
ORD-10082,2025-05-21,2025-05-26,Second Class,Consumer,Central,Illinois,Office Supplies,Paper,48.99,5,0.2,4.9
ORD-10083,2025-04-07,2025-04-13,Standard Class,Home Office,West,Washington,Office Supplies,Fasteners,4.32,1,0.0,1.21
ORD-10084,2025-10-10,2025-10-12,First Class,Home Office,South,Tennessee,Furniture,Tables,1240.66,4,0.0,148.88
ORD-10085,2025-04-04,2025-04-10,Standard Class,Home Office,Central,Texas,Furniture,Bookcases,964.15,4,0.0,115.7
ORD-10086,2025-07-25,2025-07-31,Standard Class,Corporate,South,North Carolina,Furniture,Bookcases,263.07,1,0.0,31.57
ORD-10087,2025-08-12,2025-08-15,First Class,Home Office,East,New York,Office Supplies,Storage,189.63,1,0.1,36.03
ORD-10088,2023-06-05,2023-06-12,Standard Class,Consumer,South,Florida,Technology,Phones,2140.26,3,0.15,181.92
ORD-10089,2025-09-16,2025-09-22,Standard Class,Home Office,Central,Texas,Office Supplies,Art,189.82,8,0.1,36.07
ORD-10090,2025-02-07,2025-02-14,Standard Class,Consumer,East,New Jersey,Office Supplies,Labels,83.98,8,0.1,15.96
ORD-10091,2025-07-13,2025-07-19,Standard Class,Corporate,Central,Illinois,Office Supplies,Fasteners,78.41,4,0.0,21.95
ORD-10092,2025-04-12,2025-04-16,Second Class,Consumer,South,Georgia,Office Supplies,Art,240.75,7,0.15,34.91
ORD-10093,2023-04-06,2023-04-11,Second Class,Consumer,West,Oregon,Office Supplies,Labels,5.21,1,0.1,0.99
ORD-10094,2023-11-26,2023-11-28,First Class,Home Office,Central,Ohio,Furniture,Chairs,1859.49,8,0.0,223.14
ORD-10095,2025-01-15,2025-01-21,Standard Class,Consumer,Central,Wisconsin,Office Supplies,Art,29.64,1,0.2,2.96
ORD-10096,2025-05-03,2025-05-10,Standard Class,Home Office,East,Massachusetts,Office Supplies,Binders,111.44,4,0.0,31.2
ORD-10097,2024-07-05,2024-07-06,Same Day,Corporate,West,Washington,Office Supplies,Binders,30.63,1,0.0,8.58
ORD-10098,2023-03-16,2023-03-19,First Class,Consumer,Central,Texas,Technology,Machines,5443.2,2,0.0,1197.5
ORD-10099,2023-12-08,2023-12-14,Standard Class,Home Office,South,Alabama,Furniture,Bookcases,1016.56,2,0.2,-60.99
ORD-10100,2024-12-02,2024-12-07,Second Class,Corporate,West,Oregon,Office Supplies,Paper,55.38,2,0.1,10.52
ORD-10101,2023-01-11,2023-01-16,Second Class,Consumer,East,Pennsylvania,Furniture,Furnishings,589.69,5,0.0,70.76
ORD-10102,2025-01-20,2025-01-27,Standard Class,Consumer,South,North Carolina,Office Supplies,Fasteners,40.84,8,0.0,11.44
ORD-10103,2024-12-13,2024-12-20,Standard Class,Consumer,West,Nevada,Office Supplies,Paper,39.66,2,0.0,11.1
ORD-10104,2023-04-12,2023-04-17,Second Class,Corporate,Central,Texas,Office Supplies,Storage,1041.97,5,0.0,291.75
ORD-10105,2023-08-04,2023-08-06,First Class,Consumer,West,Arizona,Furniture,Chairs,439.09,1,0.0,52.69
ORD-10106,2024-05-03,2024-05-07,Second Class,Corporate,Central,Wisconsin,Office Supplies,Binders,217.97,4,0.0,61.03
ORD-10107,2023-05-17,2023-05-17,Same Day,Corporate,Central,Illinois,Office Supplies,Fasteners,138.34,6,0.0,38.74
ORD-10108,2024-09-06,2024-09-08,First Class,Consumer,South,Georgia,Office Supplies,Art,69.12,2,0.1,13.13
ORD-10109,2023-02-08,2023-02-14,Standard Class,Corporate,Central,Ohio,Technology,Accessories,522.03,7,0.1,67.86
ORD-10110,2025-01-08,2025-01-15,Standard Class,Corporate,South,Tennessee,Office Supplies,Labels,78.51,6,0.1,14.92
ORD-10111,2025-08-15,2025-08-21,Standard Class,Home Office,South,North Carolina,Technology,Accessories,139.83,6,0.0,30.76
ORD-10112,2023-12-06,2023-12-12,Standard Class,Consumer,East,Virginia,Office Supplies,Binders,46.79,1,0.0,13.1
ORD-10113,2024-12-05,2024-12-11,Standard Class,Consumer,Central,Texas,Office Supplies,Art,150.22,5,0.0,42.06
ORD-10114,2024-12-10,2024-12-16,Standard Class,Consumer,South,Florida,Furniture,Tables,5737.3,5,0.0,688.48
ORD-10115,2025-06-03,2025-06-03,Same Day,Home Office,South,North Carolina,Office Supplies,Art,52.43,4,0.2,5.24
ORD-10116,2023-02-23,2023-03-01,Standard Class,Consumer,East,Pennsylvania,Furniture,Chairs,2912.3,6,0.2,-174.74
ORD-10117,2023-08-04,2023-08-04,Same Day,Home Office,West,California,Furniture,Chairs,695.86,2,0.15,-10.44
ORD-10118,2024-09-26,2024-10-03,Standard Class,Consumer,South,Alabama,Office Supplies,Fasteners,65.35,3,0.3,0.65
ORD-10119,2025-09-01,2025-09-04,First Class,Home Office,East,New Jersey,Office Supplies,Binders,103.2,3,0.0,28.9
ORD-10120,2025-11-29,2025-12-05,Standard Class,Consumer,West,Arizona,Technology,Copiers,14140.29,5,0.5,-3252.27
ORD-10121,2023-12-02,2023-12-09,Standard Class,Home Office,East,Virginia,Office Supplies,Storage,218.83,1,0.3,2.19
ORD-10122,2024-02-26,2024-03-02,Second Class,Home Office,West,Oregon,Technology,Phones,3362.31,4,0.15,285.8
ORD-10123,2023-03-23,2023-03-30,Standard Class,Home Office,West,Oregon,Technology,Machines,1682.51,3,0.0,370.15
ORD-10124,2025-05-15,2025-05-22,Standard Class,Consumer,Central,Wisconsin,Office Supplies,Fasteners,9.51,1,0.15,1.38
ORD-10125,2024-07-25,2024-07-31,Standard Class,Corporate,West,Arizona,Office Supplies,Paper,29.34,2,0.0,8.22
ORD-10126,2024-02-05,2024-02-12,Standard Class,Corporate,South,Alabama,Office Supplies,Art,15.53,1,0.2,1.55
ORD-10127,2025-08-05,2025-08-07,First Class,Consumer,East,Pennsylvania,Technology,Accessories,776.35,4,0.15,65.99
ORD-10128,2025-01-07,2025-01-13,Standard Class,Consumer,East,Virginia,Office Supplies,Storage,546.54,7,0.1,103.84
ORD-10129,2025-08-31,2025-09-07,Standard Class,Consumer,South,North Carolina,Office Supplies,Labels,58.97,8,0.0,16.51
ORD-10130,2023-03-25,2023-03-26,Same Day,Home Office,Central,Ohio,Furniture,Bookcases,5351.91,8,0.3,-802.79
ORD-10131,2025-03-03,2025-03-10,Standard Class,Home Office,Central,Wisconsin,Technology,Accessories,455.13,3,0.0,100.13
ORD-10132,2023-07-18,2023-07-18,Same Day,Consumer,East,Massachusetts,Furniture,Bookcases,1601.12,8,0.2,-96.07
ORD-10133,2024-06-04,2024-06-07,First Class,Consumer,Central,Michigan,Office Supplies,Fasteners,75.77,6,0.0,21.22
ORD-10134,2023-10-01,2023-10-08,Standard Class,Consumer,West,Nevada,Office Supplies,Storage,246.4,1,0.0,68.99
ORD-10135,2024-08-10,2024-08-12,First Class,Corporate,East,New Jersey,Office Supplies,Storage,1044.13,8,0.0,292.36
ORD-10136,2024-08-11,2024-08-18,Standard Class,Corporate,Central,Michigan,Furniture,Furnishings,20.14,1,0.0,2.42
ORD-10137,2023-11-13,2023-11-19,Standard Class,Home Office,East,Pennsylvania,Office Supplies,Paper,16.45,4,0.0,4.61
ORD-10138,2023-04-21,2023-04-27,Standard Class,Home Office,South,Florida,Office Supplies,Paper,226.0,8,0.2,22.6
ORD-10139,2025-05-23,2025-05-30,Standard Class,Home Office,East,New Jersey,Technology,Machines,10825.72,7,0.1,1407.34
ORD-10140,2023-11-05,2023-11-11,Standard Class,Consumer,West,Nevada,Technology,Machines,6727.49,6,0.0,1480.05
ORD-10141,2023-02-04,2023-02-08,Second Class,Corporate,West,Nevada,Office Supplies,Binders,124.47,4,0.0,34.85
ORD-10142,2025-01-01,2025-01-08,Standard Class,Home Office,West,California,Technology,Machines,9118.31,4,0.15,775.06
ORD-10143,2024-07-31,2024-08-02,First Class,Consumer,Central,Michigan,Office Supplies,Art,12.06,2,0.1,2.29
ORD-10144,2025-05-16,2025-05-23,Standard Class,Home Office,South,Georgia,Office Supplies,Storage,1306.26,8,0.2,130.63
ORD-10145,2024-01-16,2024-01-16,Same Day,Consumer,Central,Illinois,Furniture,Bookcases,188.02,1,0.0,22.56
ORD-10146,2023-09-18,2023-09-24,Standard Class,Corporate,Central,Texas,Office Supplies,Binders,116.51,2,0.3,1.17
ORD-10147,2025-04-23,2025-04-24,Same Day,Consumer,Central,Michigan,Office Supplies,Storage,1339.52,6,0.0,375.07
ORD-10148,2024-11-17,2024-11-21,Second Class,Consumer,West,Arizona,Office Supplies,Fasteners,5.86,1,0.15,0.85
ORD-10149,2023-11-30,2023-12-03,First Class,Home Office,East,New York,Office Supplies,Fasteners,33.67,5,0.0,9.43
ORD-10150,2025-10-05,2025-10-11,Standard Class,Home Office,West,Arizona,Furniture,Chairs,520.82,3,0.0,62.5
ORD-10151,2025-11-28,2025-12-04,Standard Class,Consumer,West,Washington,Office Supplies,Fasteners,47.78,2,0.5,-8.12
ORD-10152,2025-01-15,2025-01-20,Second Class,Consumer,West,Oregon,Furniture,Furnishings,114.32,4,0.2,-6.86
ORD-10153,2023-11-07,2023-11-11,Second Class,Consumer,Central,Illinois,Furniture,Chairs,3188.6,6,0.0,382.63
ORD-10154,2023-12-11,2023-12-18,Standard Class,Consumer,South,Georgia,Technology,Accessories,473.66,4,0.0,104.21
ORD-10155,2025-10-06,2025-10-11,Second Class,Consumer,South,Florida,Office Supplies,Labels,74.34,6,0.15,10.78
ORD-10156,2024-05-08,2024-05-09,Same Day,Home Office,West,California,Office Supplies,Labels,12.21,1,0.0,3.42
ORD-10157,2024-12-25,2024-12-27,First Class,Corporate,Central,Illinois,Office Supplies,Storage,638.43,6,0.1,121.3
ORD-10158,2023-04-12,2023-04-17,Second Class,Consumer,Central,Illinois,Office Supplies,Binders,296.0,8,0.0,82.88
ORD-10159,2024-10-26,2024-11-02,Standard Class,Corporate,Central,Illinois,Office Supplies,Paper,79.69,5,0.2,7.97
ORD-10160,2025-10-01,2025-10-07,Standard Class,Consumer,West,Arizona,Office Supplies,Fasteners,76.71,4,0.4,-6.14
ORD-10161,2025-08-21,2025-08-28,Standard Class,Home Office,West,Arizona,Technology,Accessories,237.3,5,0.0,52.21
ORD-10162,2024-08-11,2024-08-18,Standard Class,Home Office,East,New Jersey,Office Supplies,Paper,38.96,2,0.0,10.91
ORD-10163,2024-07-12,2024-07-14,First Class,Consumer,South,North Carolina,Office Supplies,Binders,70.67,2,0.3,0.71
ORD-10164,2024-08-06,2024-08-13,Standard Class,Home Office,West,Arizona,Office Supplies,Paper,7.72,1,0.2,0.77
ORD-10165,2025-07-03,2025-07-10,Standard Class,Consumer,East,Pennsylvania,Office Supplies,Art,39.66,2,0.2,3.97
ORD-10166,2025-03-15,2025-03-21,Standard Class,Consumer,West,Washington,Technology,Phones,234.23,1,0.0,51.53
ORD-10167,2024-09-28,2024-10-04,Standard Class,Consumer,West,Oregon,Office Supplies,Fasteners,42.09,8,0.0,11.79
ORD-10168,2025-10-02,2025-10-09,Standard Class,Home Office,Central,Ohio,Furniture,Chairs,2042.86,8,0.0,245.14
ORD-10169,2025-04-07,2025-04-14,Standard Class,Corporate,West,California,Office Supplies,Fasteners,40.66,4,0.1,7.73
ORD-10170,2023-12-08,2023-12-15,Standard Class,Consumer,Central,Michigan,Technology,Machines,8417.48,4,0.0,1851.85
ORD-10171,2024-03-28,2024-04-03,Standard Class,Corporate,West,Nevada,Office Supplies,Fasteners,58.03,6,0.1,11.03
ORD-10172,2024-05-29,2024-06-05,Standard Class,Consumer,Central,Texas,Office Supplies,Art,68.66,4,0.5,-11.67
ORD-10173,2024-02-10,2024-02-17,Standard Class,Home Office,East,Massachusetts,Office Supplies,Art,81.17,6,0.1,15.42
ORD-10174,2025-01-18,2025-01-25,Standard Class,Corporate,Central,Texas,Furniture,Bookcases,169.89,1,0.0,20.39
ORD-10175,2023-11-07,2023-11-14,Standard Class,Home Office,East,Pennsylvania,Office Supplies,Art,29.58,2,0.15,4.29
ORD-10176,2023-05-14,2023-05-20,Standard Class,Corporate,South,North Carolina,Office Supplies,Art,75.14,2,0.1,14.28
ORD-10177,2023-09-23,2023-09-29,Standard Class,Home Office,Central,Michigan,Furniture,Tables,1759.4,2,0.4,-422.26
ORD-10178,2025-06-17,2025-06-19,First Class,Home Office,Central,Wisconsin,Office Supplies,Fasteners,135.96,6,0.0,38.07
ORD-10179,2025-11-01,2025-11-08,Standard Class,Corporate,East,New York,Office Supplies,Art,38.92,4,0.0,10.9
ORD-10180,2023-09-11,2023-09-18,Standard Class,Consumer,West,Nevada,Office Supplies,Art,278.41,8,0.0,77.95
ORD-10181,2025-12-15,2025-12-21,Standard Class,Consumer,Central,Ohio,Furniture,Bookcases,545.97,3,0.2,-32.76
ORD-10182,2024-08-31,2024-09-07,Standard Class,Consumer,South,North Carolina,Office Supplies,Fasteners,34.59,8,0.15,5.02
ORD-10183,2025-02-06,2025-02-12,Standard Class,Consumer,Central,Texas,Furniture,Furnishings,586.5,7,0.2,-35.19
ORD-10184,2024-02-09,2024-02-12,First Class,Consumer,East,New Jersey,Office Supplies,Fasteners,169.18,7,0.1,32.14
ORD-10185,2023-12-04,2023-12-10,Standard Class,Corporate,Central,Wisconsin,Office Supplies,Binders,42.88,2,0.0,12.01
ORD-10186,2024-05-24,2024-05-31,Standard Class,Consumer,South,Tennessee,Office Supplies,Labels,120.39,7,0.0,33.71
ORD-10187,2024-09-16,2024-09-18,First Class,Corporate,South,Tennessee,Office Supplies,Labels,51.35,5,0.4,-4.11
ORD-10188,2023-08-20,2023-08-22,First Class,Home Office,West,California,Furniture,Bookcases,1224.96,2,0.0,147.0
ORD-10189,2024-08-03,2024-08-10,Standard Class,Consumer,South,Georgia,Office Supplies,Binders,54.39,8,0.3,0.54
ORD-10190,2025-11-06,2025-11-12,Standard Class,Consumer,South,Alabama,Office Supplies,Binders,56.87,8,0.0,15.92
ORD-10191,2024-03-17,2024-03-17,Same Day,Consumer,East,Pennsylvania,Technology,Accessories,542.64,4,0.0,119.38
ORD-10192,2025-08-19,2025-08-25,Standard Class,Consumer,East,Pennsylvania,Technology,Accessories,1269.38,8,0.15,107.9
ORD-10193,2023-05-29,2023-06-05,Standard Class,Consumer,West,California,Furniture,Bookcases,2650.0,6,0.3,-397.5
ORD-10194,2025-07-24,2025-07-31,Standard Class,Corporate,East,Pennsylvania,Office Supplies,Art,20.96,2,0.0,5.87
ORD-10195,2024-11-16,2024-11-22,Standard Class,Consumer,West,California,Office Supplies,Paper,170.78,6,0.3,1.71
ORD-10196,2025-10-18,2025-10-24,Standard Class,Corporate,Central,Ohio,Technology,Copiers,7400.06,2,0.15,629.01
ORD-10197,2025-02-08,2025-02-14,Standard Class,Consumer,South,Tennessee,Office Supplies,Binders,282.16,5,0.2,28.22
ORD-10198,2024-11-26,2024-12-02,Standard Class,Home Office,Central,Michigan,Office Supplies,Art,91.94,3,0.2,9.19
ORD-10199,2023-05-09,2023-05-16,Standard Class,Consumer,East,New Jersey,Office Supplies,Binders,324.69,7,0.0,90.91
ORD-10200,2023-10-29,2023-11-04,Standard Class,Consumer,Central,Texas,Technology,Machines,1542.6,2,0.2,61.7
ORD-10201,2023-07-28,2023-07-31,First Class,Consumer,Central,Illinois,Office Supplies,Fasteners,43.01,2,0.0,12.04
ORD-10202,2025-11-09,2025-11-14,Second Class,Corporate,West,Washington,Office Supplies,Fasteners,110.81,5,0.0,31.03
ORD-10203,2023-07-07,2023-07-11,Second Class,Consumer,South,North Carolina,Furniture,Tables,920.28,6,0.0,110.43
ORD-10204,2025-02-04,2025-02-11,Standard Class,Corporate,East,New York,Office Supplies,Labels,87.08,7,0.2,8.71
ORD-10205,2024-06-25,2024-07-02,Standard Class,Corporate,Central,Illinois,Office Supplies,Fasteners,43.42,8,0.0,12.16
ORD-10206,2025-02-01,2025-02-08,Standard Class,Corporate,Central,Michigan,Furniture,Tables,922.28,1,0.0,110.67
ORD-10207,2024-02-03,2024-02-10,Standard Class,Corporate,Central,Ohio,Furniture,Chairs,3286.5,8,0.0,394.38
ORD-10208,2025-08-30,2025-09-05,Standard Class,Consumer,South,Tennessee,Office Supplies,Binders,70.47,2,0.0,19.73
ORD-10209,2024-08-03,2024-08-05,First Class,Corporate,West,Arizona,Office Supplies,Storage,477.83,6,0.0,133.79
ORD-10210,2025-10-06,2025-10-12,Standard Class,Corporate,East,Massachusetts,Office Supplies,Fasteners,99.1,6,0.2,9.91
ORD-10211,2025-09-11,2025-09-18,Standard Class,Consumer,East,New York,Office Supplies,Art,68.16,7,0.3,0.68
ORD-10212,2023-07-24,2023-07-31,Standard Class,Consumer,West,Nevada,Office Supplies,Art,65.1,2,0.0,18.23
ORD-10213,2025-12-29,2026-01-04,Standard Class,Home Office,West,Arizona,Office Supplies,Storage,208.11,4,0.0,58.27
ORD-10214,2023-06-14,2023-06-21,Standard Class,Home Office,West,Oregon,Technology,Machines,20144.25,8,0.0,4431.73
ORD-10215,2024-03-20,2024-03-26,Standard Class,Corporate,South,Alabama,Office Supplies,Storage,455.0,5,0.15,65.98
ORD-10216,2023-01-28,2023-02-04,Standard Class,Consumer,West,Arizona,Technology,Accessories,908.56,8,0.0,199.88
